Yaw,Pitch,Roll,Pressure,Altitude
13.79,-26.56,-18.3,101334,0.0
12.48,-22.36,-13.96,101322,0.999014733268
11.16,-15.82,-7.81,101334,0.0
10.66,-10.35,-2.9,101334,0.0
10.68,-3.74,2.69,101328,0.49949539205
11.17,1.46,7.25,101328,0.49949539205
12.48,8.47,13.54,101337,-0.249738715887
14.42,14.75,19.68,101340,-0.499471445442
17.69,21.8,27.46,101337,-0.249738715887
23.12,29.45,37.53,101331,0.249744702539
29.91,35.51,48.31,101334,0.0
36.43,39.37,57.83,101331,0.249744702539
47.97,43.27,73.56,101334,0.0
59.63,44.55,88.88,101337,-0.249738715887
69.9,43.81,102.28,101337,-0.249738715887
79.2,41.5,114.69,101334,0.0
88.03,37.41,127.04,101331,0.249744702539
94.91,32.28,137.44,101331,0.249744702539
98.96,27.96,144.26,101331,0.249744702539
102.12,23.45,150.23,101334,0.0
104.92,18.16,156.39,101334,0.0
107.21,12.16,162.55,101337,-0.249738715887
108.76,6.28,168.07,101331,0.249744702539
109.69,0.64,173.07,101334,0.0
110.06,-3.5,176.61,101334,0.0
110.15,-8.73,-178.84,101340,-0.499471445442
109.82,-14.31,-174.19,101334,0.0
109.22,-18.43,-170.43,101328,0.49949539205
108.39,-22.32,-166.71,101319,1.24878338562
107.11,-26.52,-162.48,101325,0.749252068853
105.5,-30.5,-158.25,101334,0.0
103.49,-34.2,-153.8,101343,-0.74919818898
101.73,-36.81,-150.17,101328,0.49949539205
98.68,-40.42,-144.68,101343,-0.74919818898
95.56,-43.28,-139.39,101334,0.0
91.98,-45.86,-133.73,101334,0.0
87.96,-48.14,-127.67,101340,-0.499471445442
82.79,-50.35,-120.48,101343,-0.74919818898
78.34,-51.71,-114.37,101334,0.0
74.25,-52.64,-108.83,101331,0.249744702539
67.83,-53.56,-100.38,101346,-0.998918946846
62.55,-53.87,-93.45,101334,0.0
56.44,-53.82,-85.49,101340,-0.499471445442
50.34,-53.24,-77.51,101334,0.0
45.89,-52.47,-71.5,101334,0.0
39.62,-50.78,-63.04,101334,0.0
34.38,-48.74,-55.8,101337,-0.249738715887
30.2,-46.55,-49.73,101334,0.0
26.53,-44.07,-44.04,101337,-0.249738715887
23.29,-41.27,-38.63,101319,1.24878338562
20.41,-38.15,-33.43,101337,-0.249738715887
17.63,-34.27,-27.9,101337,-0.249738715887
15.32,-30.04,-22.6,101343,-0.74919818898
13.42,-25.3,-17.47,101331,0.249744702539
12.33,-21.47,-13.56,101331,0.249744702539
11.37,-16.71,-9.11,101328,0.49949539205
10.76,-11.1,-4.03,101334,0.0
10.68,-4.37,1.71,101328,0.49949539205
11.32,2.81,7.76,101331,0.249744702539
12.68,9.44,13.62,101337,-0.249738715887
14.87,16.08,20.15,101328,0.49949539205
18.08,22.65,27.53,101328,0.49949539205
23.22,29.78,37.02,101334,0.0
29.56,35.57,47.05,101325,0.749252068853
36.66,39.8,57.37,101337,-0.249738715887
45.11,42.89,69.02,101331,0.249744702539
54.58,44.59,81.6,101328,0.49949539205
63.13,44.87,92.77,101331,0.249744702539
71.5,43.97,103.66,101322,0.999014733268
82.33,40.86,118.14,101334,0.0
90.17,36.73,129.36,101337,-0.249738715887
96.2,31.79,138.82,101331,0.249744702539
100.79,26.39,146.85,101337,-0.249738715887
103.85,21.45,152.97,101334,0.0
105.92,17.15,157.57,101331,0.249744702539
107.9,11.57,162.99,101337,-0.249738715887
109.26,6.17,168.0,101331,0.249744702539
110.1,0.98,172.57,101334,0.0
